photo.code,str.code,lado,site,origin,nursery,frag.date,date,month,year,gira,area.cm2,num.frag,mort.,mort.parc,perd,blanq,notas,digitador
DSCN8527,13,1,Playa Blanca,,arana,,,1,2021,ene-24,86.845,7,0,0,0,0,,Maricruz
DSCN8528,13,2,Playa Blanca,,arana,,,1,2021,ene-24,42.120,7,0,0,0,0,,Maricruz
DSCN8529,13,3,Playa Blanca,,arana,,,1,2021,ene-24,85.987,6,0,0,0,0,,Maricruz
DSCN8530,13,4,Playa Blanca,,arana,,,1,2021,ene-24,106.025,9,0,0,0,0,,Maricruz
DSCN8531,13,5,Playa Blanca,,arana,,,1,2021,ene-24,59.951,5,0,0,0,0,,Maricruz
DSCN8532,13,6,Playa Blanca,,arana,,,1,2021,ene-24,31.629,3,0,0,1,0,,Maricruz
DSCN8533,13,7,Playa Blanca,,arana,,,1,2021,ene-24,NA,NA,NA,NA,NA,NA,Es la misma foto a la siguiente. pero se observa con mucha claridad,Maricruz
DSCN8534,13,7,Playa Blanca,,arana,,,1,2021,ene-24,315.896,19,0,1,0,0,,Maricruz
DSCN8535,14,0,Playa Blanca,,arana,,,1,2021,ene-24,NA,NA,NA,NA,NA,NA,Etiqueta de la arana,Maricruz
DSCN8536,14,1,Playa Blanca,,arana,,,1,2021,ene-24,76.597,6,0,0,0,0,,Maricruz
DSCN8537,14,2,Playa Blanca,,arana,,,1,2021,ene-24,45.820,6,0,1,1,0,,Maricruz
DSCN8538,14,3,Playa Blanca,,arana,,,1,2021,ene-24,40.416,4,0,0,2,0,,Maricruz
DSCN8539,14,4,Playa Blanca,,arana,,,1,2021,ene-24,96.862,6,0,0,1,0,,Maricruz
DSCN8540,14,5,Playa Blanca,,arana,,,1,2021,ene-24,76.935,5,0,1,1,0,,Maricruz
DSCN8541,14,6,Playa Blanca,,arana,,,1,2021,ene-24,72.751,5,0,0,0,0,,Maricruz
DSCN8542,14,7,Playa Blanca,,arana,,,1,2021,ene-24,292.356,18,0,2,0,0,,Maricruz
DSNC8543,15,0,Playa Blanca,,arana,,,1,2021,ene-24,NA,NA,NA,NA,NA,NA,Etiqueta de la arana,Maricruz
DSNC8544,15,1,Playa Blanca,,arana,,,1,2021,ene-24,52.090,10,0,0,0,0,,Maricruz
DSNC8545,15,2,Playa Blanca,,arana,,,1,2021,ene-24,44.641,7,0,0,1,0,,Maricruz
DSNC8546,15,3,Playa Blanca,,arana,,,1,2021,ene-24,16.431,4,1,0,1,0,,Maricruz
DSNC8547,15,4,Playa Blanca,,arana,,,1,2021,ene-24,59.591,6,1,0,0,0,El primero de la primera fila no se si es muerte o perdida,Maricruz
DSNC8548,15,5,Playa Blanca,,arana,,,1,2021,ene-24,45.839,8,0,1,0,0,,Maricruz
DSNC8549,15,6,Playa Blanca,,arana,,,1,2021,ene-24,103.912,7,0,0,0,0,,Maricruz
DSNC8550,15,7,Playa Blanca,,arana,,,1,2021,ene-24,165.105,13,0,2,3,0,,Maricruz
DSCN9126,11,1,Playa Blanca,,arana,,,2,2021,feb-24,125.392,4,0,1,0,0,,Maricruz
DSCN9127,11,2,Playa Blanca,,arana,,,2,2021,feb-24,152.403,5,0,1,0,0,,Maricruz
DSCN9128,11,3,Playa Blanca,,arana,,,2,2021,feb-24,151.653,3,0,1,0,1,el coral de la primera barra de arriba hacia abajo no se si es mortalidad total o parcial,Maricruz
DSCN9129,11,4,Playa Blanca,,arana,,,2,2021,feb-24,NA,NA,NA,NA,NA,NA,es igual a la DSCN9130. hay un pez en la foto,Maricruz
DSCN9130,11,4,Playa Blanca,,arana,,,2,2021,feb-24,147.891,4,0,1,1,0,,Maricruz
DSCN9131,11,5,Playa Blanca,,arana,,,2,2021,feb-24,216.527,5,0,2,0,1,,Maricruz
DSCN9132,11,6,Playa Blanca,,arana,,,2,2021,feb-24,150.308,4,0,2,2,0,,Maricruz
DSCN9133,11,7,Playa Blanca,,arana,,,2,2021,feb-24,154.847,11,0,1,2,0,,Maricruz
DSCN9105,12,1,Playa Blanca,,arana,,,2,2021,feb-24,182.098,5,0,1,0,0,,Maricruz
DSCN9106,12,2,Playa Blanca,,arana,,,2,2021,feb-24,109.215,5,0,0,0,0,,Maricruz
DSCN9107,12,3,Playa Blanca,,arana,,,2,2021,feb-24,44.771,4,0,1,1,0,,Maricruz
DSCN9108,12,4,Playa Blanca,,arana,,,2,2021,feb-24,40.607,7,0,0,0,0,,Maricruz
DSCN9109,12,5,Playa Blanca,,arana,,,2,2021,feb-24,30.836,5,0,0,2,0,,Maricruz
DSCN9110,12,6,Playa Blanca,,arana,,,2,2021,feb-24,37.767,4,1,0,1,1,,Maricruz
DSCN9111,12,7,Playa Blanca,,arana,,,2,2021,feb-24,179.067,13,0,0,5,2,,Maricruz
DSCN9098,13,1,Playa Blanca,,arana,,,2,2021,feb-24,95.505,5,0,1,0,0,,Maricruz
DSCN9099,13,2,Playa Blanca,,arana,,,2,2021,feb-24,49.508,5,0,1,1,0,,Maricruz
DSCN9100,13,3,Playa Blanca,,arana,,,2,2021,feb-24,105.595,5,0,2,0,0,,Maricruz
DSCN9101,13,4,Playa Blanca,,arana,,,2,2021,feb-24,122.145,8,0,0,0,0,,Maricruz
DSCN9102,13,5,Playa Blanca,,arana,,,2,2021,feb-24,63.028,6,0,0,1,0,,Maricruz
DSCN9103,13,6,Playa Blanca,,arana,,,2,2021,feb-24,45.354,3,0,0,2,0,,Maricruz
DSCN9104,13,7,Playa Blanca,,arana,,,2,2021,feb-24,413.591,17,0,0,2,0,,Maricruz
DSCN9090,14,1,Playa Blanca,,arana,,,2,2021,feb-24,78.460,4,0,1,3,0,,Maricruz
