photo.code,str.code,lado,site,origin,spp,nursery,frag.date,date,month,year,gira,area.cm2,num.frag,mort.,mort.parc,perd,blanq,notas,digitador
DSCN1724,175,2,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,548.785,9,0,0,0,1,,Monica
DSCN1725,175,3,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,505.237,7,0,0,0,0,,Monica
DSCN1726,175,4,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,846.649,8,0,0,0,0,,Monica
DSCN1727,175,5,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,"1,093.229",10,0,0,0,0,,Monica
DSCN1728,175,6,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,"1,189.951",11,0,0,0,0,,Monica
DSCN1729,175,7,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,"1,676.887",10,0,0,0,0,,Monica
DSCN1666,76,1,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,414.324,5,0,0,0,0,,Monica
DSCN1667,76,2,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,260.553,5,0,0,0,0,,Monica
DSCN1668,76,3,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,423.668,4,0,0,0,0,,Monica
DSCN1669,76,4,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,534.038,6,0,0,0,0,,Monica
DSCN1670,76,5,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,464.628,7,0,0,0,0,,Monica
DSCN1671,76,6,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,510.32,5,0,0,0,0,,Monica
DSCN1672,76,7,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,793.898,5,0,0,0,1,,Monica
DSCN1682,77,1,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,393.254,5,0,0,0,0,,Monica
DSCN1683,77,2,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,387.208,7,0,0,0,0,,Monica
DSCN1684,77,3,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,673.542,6,0,0,0,0,,Monica
DSCN1685,77,4,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,437.135,4,0,0,0,0,,Monica
DSCN1686,77,5,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,442.064,4,0,0,0,1,,Monica
DSCN1687,77,6,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,253.232,3,0,0,0,0,,Monica
DSCN1688,77,7,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,928.82,9,0,0,0,0,,Monica
DSCN1674,87,1,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,338.977,4,0,0,0,0,,Monica
DSCN1675,87,2,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,489.945,5,0,0,0,0,,Monica
DSCN1676,87,3,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,467.802,5,0,0,0,0,,Monica
DSCN1677,87,4,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,378.023,4,0,0,0,0,,Monica
DSCN1678,87,5,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,622.981,6,0,0,0,0,,Monica
DSCN1679,87,6,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,444.929,4,0,0,0,0,,Monica
DSCN1680,87,7,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,1087.192,7,0,0,0,0,,Monica
DSCN1657,88,1,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,385.286,5,0,0,0,0,,Monica
DSCN1658,88,2,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,231.877,6,0,0,0,0,,Monica
DSCN1659,88,3,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,389.23,6,0,0,0,0,,Monica
DSCN1660,88,4,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,378.063,6,0,0,0,0,,Monica
DSCN1661,88,5,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,312.6,5,0,0,0,0,,Monica
DSCN1662,88,6,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,231.093,5,0,1,0,0,,Monica
DSCN1664,88,7,Guiri,,Pocillopora spp,arana,,24/2/2023,2,2023,feb-23,504.567,10,0,0,0,0,,Monica
DSCN2328,169,1,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,"1,132.904",11,0,3,0,0,,Monica
DSCN2329,169,2,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,"1,172.952",9,1,0,0,0,,Monica
DSCN2330,169,3,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,"1,464.557",11,0,0,0,0,,Monica
DSCN2331,169,4,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,"1,126.474",10,0,0,0,0,1 coral tapado,Monica
DSCN2332,169,5,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,921.344,10,0,0,0,0,,Monica
DSCN2333,169,6,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,"1,337.405",10,1,0,0,0,,Monica
DSCN2334,169,7,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,"2,287.759",19,0,0,0,0,,Monica
DSCN2252,170,1,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,NA,NA,NA,NA,NA,NA,,Monica
DSCN2253,170,2,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,645.637,8,0,0,0,0,,Monica
DSCN2254,170,3,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,817.149,7,0,0,0,0,,Monica
DSCN2255,170,4,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,933.618,8,0,0,0,0,,Monica
DSCN2256,170,5,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,"1,209.377",8,0,1,0,0,,Monica
DSCN2257,170,6,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,"1,299.458",7,0,0,0,0,,Monica
DSCN2258,170,7,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,"1,940.996",10,0,0,0,0,,Monica
DSCN2300,171,1,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,921.649,10,0,1,0,0,,Monica
DSCN2301,171,2,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,676.842,10,0,0,0,0,,Monica
DSCN2302,171,3,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,953.439,10,0,0,0,0,,Monica
DSCN2303,171,4,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,"1,067.945",8,0,0,0,0,,Monica
DSCN2304,171,5,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,892.311,9,0,0,0,0,,Monica
DSCN2305,171,6,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,966.450,10,0,1,0,0,,Monica
DSCN2306,171,7,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,"2,177.620",13,0,0,0,0,,Monica
DSCN2268,172,1,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,790.242,9,0,0,0,0,,Monica
DSCN2269,172,2,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,860.450,10,0,0,0,0,,Monica
DSCN2270,172,3,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,"1,019.790",11,0,0,0,0,,Monica
DSCN2271,172,4,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,"1,012.047",10,0,0,0,0,,Monica
DSCN2272,172,5,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,"1,087.989",9,0,0,0,0,,Monica
DSCN2273,172,6,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,"1,342.080",11,0,0,0,0,,Monica
DSCN2274,172,7,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,"2,272.441",19,0,0,0,0,,Monica
DSCN2260,175,1,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,427.869,7,0,0,0,0,,Monica
DSCN2261,175,2,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,497.218,9,0,0,0,1,,Monica
DSCN2262,175,3,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,752.688,7,0,0,0,0,,Monica
DSCN2263,175,4,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,"1,046.749",8,0,0,0,0,,Monica
DSCN2264,175,5,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,"1,397.797",10,0,0,0,0,,Monica
DSCN2265,175,6,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,"1,588.402",11,0,0,0,0,,Monica
DSCN2266,175,7,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,"1,432.511",10,0,0,0,0,,Monica
DSCN2284,76,1,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,485.604,5,0,0,0,0,,Monica
DSCN2285,76,2,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,204.251,5,0,0,0,0,,Monica
DSCN2286,76,3,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,477.455,4,0,0,0,0,,Monica
DSCN2287,76,4,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,607.528,6,0,0,0,0,,Monica
DSCN2288,76,5,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,442.35,7,0,0,0,0,,Monica
DSCN2289,76,6,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,591.774,5,0,0,0,0,,Monica
DSCN2290,76,7,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,318.094,5,0,0,0,1,,Monica
DSCN2308,77,1,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,341.45,5,0,0,0,0,,Monica
DSCN2309,77,2,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,469.954,7,0,0,0,0,,Monica
DSCN2310,77,3,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,611.982,6,0,0,0,0,,Monica
DSCN2311,77,4,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,436.591,4,0,0,0,0,,Monica
DSCN2312,77,5,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,419.658,4,0,0,0,1,,Monica
DSCN2313,77,6,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,156.997,3,0,0,0,0,,Monica
DSCN2314,77,7,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,893.213,9,0,0,0,0,,Monica
DSCN2276,87,1,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,403.788,4,0,0,0,0,,Monica
DSCN2277,87,2,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,577.995,5,0,0,0,0,,Monica
DSCN2278,87,3,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,566.284,5,0,0,0,0,,Monica
DSCN2279,87,4,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,435.988,4,0,0,0,0,,Monica
DSCN2280,87,5,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,684.504,6,0,0,0,0,,Monica
DSCN2281,87,6,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,493.889,4,0,0,0,0,,Monica
DSCN2282,87,7,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,1043.668,7,0,0,0,0,,Monica
DSCN2292,88,1,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,350.69,5,0,0,0,0,,Monica
DSCN2293,88,2,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,384.55,6,0,0,0,0,,Monica
DSCN2294,88,3,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,359.222,6,0,0,0,0,,Monica
DSCN2295,88,4,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,386.968,6,0,0,0,0,,Monica
DSCN2296,88,5,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,477.425,5,0,0,0,0,,Monica
DSCN2297,88,6,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,255.444,5,0,1,0,0,,Monica
DSCN2298,88,7,Guiri,,Pocillopora spp,arana,,24/3/2023,3,2023,mar-23,550.897,10,0,0,0,0,,Monica
DSCN3142,169,1,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,"1,305.728",11,0,3,0,0,,Monica
DSCN3143,169,2,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,"1,111.103",9,1,0,0,0,,Monica
DSCN3144,169,3,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,"1,366.480",11,0,0,0,0,,Monica
DSCN3145,169,4,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,"1,447.520",12,0,0,0,0,,Monica
DSCN3146,169,5,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,"1,130.502",10,0,0,0,0,,Monica
DSCN3147,169,6,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,"1,197.658",10,1,0,0,0,,Monica
DSCN3148,169,7,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,"2,418.536",19,0,0,0,0,,Monica
DSCN3175,170,1,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,NA,NA,NA,NA,NA,NA,,Monica
DSCN3176,170,2,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,944.409,8,0,0,0,0,,Monica
DSCN3177,170,3,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,970.442,7,0,0,0,0,,Monica
DSCN3178,170,4,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,953.851,8,0,0,0,0,,Monica
DSCN3179,170,5,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,"1,339.507",8,0,1,0,0,,Monica
DSCN3180,170,6,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,"1,307.022",7,0,0,0,0,,Monica
DSCN3181,170,7,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,"1,979.899",10,0,0,0,0,,Monica
DSCN3134,171,1,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,"1,022.726",10,0,1,0,0,,Monica
DSCN3135,171,2,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,878.464,10,0,0,0,0,,Monica
DSCN3136,171,3,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,"1,075.905",10,0,0,0,0,,Monica
DSCN3137,171,4,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,888.292,8,0,0,0,0,,Monica
DSCN3138,171,5,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,"1,000.588",9,0,0,0,0,,Monica
DSCN3139,171,6,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,"1,242.530",10,0,1,0,0,,Monica
DSCN3140,171,7,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,"2,311.391",13,0,0,0,0,,Monica
DSCN3159,172,1,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,928.681,9,0,0,0,0,,Monica
DSCN3160,172,2,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,"1,215.013",10,0,0,0,0,,Monica
DSCN3161,172,3,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,"1,216.037",11,0,0,0,0,,Monica
DSCN3162,172,4,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,"1,048.841",10,0,0,0,0,,Monica
