"photo.code","site","month","year","area.cm2","num.frag","mort.","mort.parc","perd","blanq","structure","data_entry_person","date"
"DSCN3725","Playa Blanca","4","2023",404.77,19,0,1,0,0,"74","Daniela",2023-04-01
"DSCN4534","Playa Blanca","5","2023",777.995,18,0,2,1,1,"79","Paula",2023-05-01
"DSCN4561","Playa Blanca","5","2023",465.098,22,0,5,4,3,"80","Paula",2023-05-01
"DSCN4569","Playa Blanca","5","2023",677.574,23,0,3,1,0,"81","Paula",2023-05-01
"DSCN4619","Playa Blanca","5","2023",330.598,21,0,3,1,0,"86","Paula",2023-05-01
"DSCN4581","Playa Blanca","5","2023",945.155,22,0,3,1,0,"108","Paula",2023-05-01
"DSCN3824","Playa Blanca","5","2023",482.393,26,0,0,0,0,"68","Daniela",2023-05-01
"DSCN3762","Playa Blanca","5","2023",213.956,24,0,0,0,1,"70","Daniela",2023-05-01
"DSCN3814","Playa Blanca","5","2023",635.116,22,0,0,0,0,"72","Daniela",2023-05-01
"DSCN3846","Playa Blanca","5","2023",422.087,23,0,1,1,0,"73","Daniela",2023-05-01
"DSCN3725","Playa Blanca","5","2023",453.169,19,0,1,0,0,"74","Daniela",2023-05-01
"DSCN5302","Playa Blanca","6","2023",506.372,19,0,13,1,19,"147","Amanda",2023-06-01
"DSCN5308","Playa Blanca","6","2023",502.617,22,0,17,1,22,"155","Amanda",2023-06-01
"DSCN5334","Playa Blanca","6","2023",455.139,25,0,0,1,0,"68","Daniela",2023-06-01
"DSCN5372","Playa Blanca","6","2023",316.878,24,0,0,0,1,"70","Daniela",2023-06-01
"DSCN5322","Playa Blanca","6","2023",706.827,22,0,0,0,0,"72","Daniela",2023-06-01
"DSCN5317","Playa Blanca","6","2023",444.188,23,0,1,1,3,"73","Daniela",2023-06-01
"DSCN5311","Playa Blanca","6","2023",640.307,19,0,1,0,0,"74","Daniela",2023-06-01
"DSCN8784","Playa Blanca","7","2023",500.572,16,0,15,1,16,"59","Amanda",2023-07-01
"DSCN8778","Playa Blanca","7","2023",435.423,19,0,15,1,18,"82","Amanda",2023-07-01
"DSCN8788","Playa Blanca","7","2023",724.687,21,0,14,3,21,"99","Amanda",2023-07-01
"DSCN8782","Playa Blanca","7","2023",504.908,19,0,15,0,16,"115","Amanda",2023-07-01
"DSCN8790","Playa Blanca","7","2023",725.161,28,0,23,0,27,"146","Amanda",2023-07-01
"DSCN8780","Playa Blanca","7","2023",456.944,19,0,18,1,18,"147","Amanda",2023-07-01
"DSCN8786","Playa Blanca","7","2023",420.639,22,0,19,1,22,"155","Amanda",2023-07-01
"DSCN3810","Playa Blanca","4","2023",381.448,12,0,0,3,1,"58","Priscilla",2023-04-01
"DSCN3804","Playa Blanca","4","2023",462.636,24,0,0,0,0,"60","Priscilla",2023-04-01
"DSCN3848","Playa Blanca","4","2023",366.081,24,0,0,0,0,"62","Priscilla",2023-04-01
"DSCN3850","Playa Blanca","4","2023",506.523,32,0,0,0,0,"64","Priscilla",2023-04-01
"DSCN3806","Playa Blanca","4","2023",362.99,27,0,0,1,0,"66","Priscilla",2023-04-01
"DSCN4591","Playa Blanca","5","2023",418.313,12,0,2,3,0,"58","Priscilla",2023-05-01
"DSCN4593","Playa Blanca","5","2023",548.101,19,0,0,2,0,"60","Priscilla",2023-05-01
"DSCN4552","Playa Blanca","5","2023",476.522,24,0,0,0,0,"62","Priscilla",2023-05-01
"DSCN4555","Playa Blanca","5","2023",592.927,31,0,1,1,0,"64","Priscilla",2023-05-01
"DSCN4597","Playa Blanca","5","2023",561.398,27,0,0,1,1,"66","Priscilla",2023-05-01
"DSCN5330","Playa Blanca","6","2023",498.661,12,0,0,3,0,"58","Priscilla",2023-06-01
"DSCN5333","Playa Blanca","6","2023",720.477,19,0,0,3,0,"60","Priscilla",2023-06-01
"DSCN5314","Playa Blanca","6","2023",581.425,24,0,0,0,0,"62","Priscilla",2023-06-01
"DSCN5315","Playa Blanca","6","2023",780.494,30,0,0,2,1,"64","Priscilla",2023-06-01
"DSCN5332","Playa Blanca","6","2023",455.94,26,0,0,1,3,"66","Priscilla",2023-06-01
"DSCN8835","Playa Blanca","7","2023",537.96,11,0,0,4,0,"58","Priscilla",2023-07-01
"DSCN8839","Playa Blanca","7","2023",796.642,19,0,0,1,0,"60","Priscilla",2023-07-01
"DSCN8793","Playa Blanca","7","2023",725.191,24,0,0,0,0,"62","Priscilla",2023-07-01
"DSCN8795","Playa Blanca","7","2023",967.712,30,0,0,1,1,"64","Priscilla",2023-07-01
"DSCN8841","Playa Blanca","7","2023",680.696,26,0,0,2,2,"66","Priscilla",2023-07-01
"DSCN9862","Playa Blanca","8","2023",576.195,11,0,0,3,0,"58","Priscilla",2023-08-01
"DSCN9866","Playa Blanca","8","2023",903.798,19,0,0,3,0,"60","Priscilla",2023-08-01
"DSCN9826","Playa Blanca","8","2023",681.162,24,0,0,0,0,"62","Priscilla",2023-08-01
"DSCN9822","Playa Blanca","8","2023",875.015,30,0,0,1,3,"64","Priscilla",2023-08-01
"DSCN9876","Playa Blanca","8","2023",589.534,26,1,0,2,3,"66","Priscilla",2023-08-01
"PA210915","Playa Blanca","10","2023",505.564,11,0,0,4,11,"58","Priscilla",2023-10-01
"PA210918","Playa Blanca","10","2023",779.846,19,0,0,0,19,"60","Priscilla",2023-10-01
"PA210861","Playa Blanca","10","2023",891.835,24,0,0,0,18,"62","Priscilla",2023-10-01
"PA210864","Playa Blanca","10","2023",855.492,30,0,0,2,30,"64","Priscilla",2023-10-01
"PA210923","Playa Blanca","10","2023",615.93,21,0,0,3,21,"66","Priscilla",2023-10-01
"DSCN2179","Playa Blanca","11","2023",546.592,11,0,4,3,10,"58","Priscilla",2023-11-01
"DSCN2184","Playa Blanca","11","2023",418.443,19,9,9,0,9,"60","Priscilla",2023-11-01
"DSCN2134","Playa Blanca","11","2023",545.297,23,2,5,0,8,"62","Priscilla",2023-11-01
"DSCN2137","Playa Blanca","11","2023",451.801,29,9,6,2,3,"64","Priscilla",2023-11-01
"DSCN2186","Playa Blanca","11","2023",514.519,21,3,7,4,1,"66","Priscilla",2023-11-01
"DSCN9814","Playa Blanca","8","2023",676.41,19,0,12,0,14,"59","Amanda",2023-08-01
"DSCN9808","Playa Blanca","8","2023",648.352,19,0,16,1,18,"82","Amanda",2023-08-01
"DSCN9818","Playa Blanca","8","2023",887.813,21,0,19,2,21,"99","Amanda",2023-08-01
"DSCN9812","Playa Blanca","8","2023",574.13,19,0,18,0,19,"115","Amanda",2023-08-01
"DSCN9820","Playa Blanca","8","2023",574.13,26,0,18,2,26,"146","Amanda",2023-08-01
"DSCN9810","Playa Blanca","8","2023",497.719,19,0,17,1,19,"147","Amanda",2023-08-01
"DSCN9816","Playa Blanca","8","2023",486.687,21,0,18,21,2,"155","Amanda",2023-08-01
"DSCN2777","Playa Blanca","3","2023",686.552,19,0,0,0,0,"148","Jorge",2023-03-01
"DSCN3808","Playa Blanca","4","2023",524.276,14,0,0,0,0,"139","Jorge",2023-04-01
"DSCN3816","Playa Blanca","4","2023",425.17,21,0,0,0,0,"140","Jorge",2023-04-01
"DSCN3844","Playa Blanca","4","2023",295.052,26,0,0,0,0,"143","Jorge",2023-04-01
"DSCN3842","Playa Blanca","4","2023",330.51,18,0,0,0,0,"144","Jorge",2023-04-01
"DSCN3834","Playa Blanca","4","2023",603.666,18,0,0,0,0,"148","Jorge",2023-04-01
"DSCN4595","Playa Blanca","5","2023",521.728,13,0,0,1,0,"139","Jorge",2023-05-01
"DSCN4567","Playa Blanca","5","2023",478.643,22,0,0,0,0,"140","Jorge",2023-05-01
"DSCN4559","Playa Blanca","5","2023",348.46,24,0,0,2,0,"143","Jorge",2023-05-01
"DSCN4563","Playa Blanca","5","2023",439.391,17,0,0,1,0,"144","Jorge",2023-05-01
"DSCN4583","Playa Blanca","5","2023",741.984,17,0,0,2,0,"148","Jorge",2023-05-01
"DSCN5331","Playa Blanca","6","2023",586.39,13,0,0,0,0,"139","Jorge",2023-06-01
"DSCN5323","Playa Blanca","6","2023",588.347,21,0,0,1,0,"140","Jorge",2023-06-01
"DSCN5319","Playa Blanca","6","2023",357.09,26,0,0,0,0,"143","Jorge",2023-06-01
"DSCN5321","Playa Blanca","6","2023",527.869,16,0,0,1,0,"144","Jorge",2023-06-01
"DSCN5340","Playa Blanca","6","2023",711.397,17,0,0,0,0,"148","Jorge",2023-06-01
"DSCN8837","Playa Blanca","7","2023",778.814,13,0,0,0,0,"139","Jorge",2023-07-01
"DSCN8811","Playa Blanca","7","2023",731.887,21,0,0,0,0,"140","Jorge",2023-07-01
"DSCN8797","Playa Blanca","7","2023",455.029,25,1,0,0,0,"143","Jorge",2023-07-01
"DSCN8801","Playa Blanca","7","2023",640.325,17,0,0,0,0,"144","Jorge",2023-07-01
"DSCN8827","Playa Blanca","7","2023",825.745,16,0,0,1,0,"148","Jorge",2023-07-01
"DSCN9864","Playa Blanca","8","2023",949.916,13,0,11,0,0,"139","Jorge",2023-08-01
"DSCN9838","Playa Blanca","8","2023",673.668,21,0,11,0,0,"140","Jorge",2023-08-01
"DSCN9828","Playa Blanca","8","2023",510.199,25,0,16,0,1,"143","Jorge",2023-08-01
"DSCN9832","Playa Blanca","8","2023",754.02,17,0,13,0,0,"144","Jorge",2023-08-01
"DSCN9854","Playa Blanca","8","2023",824.474,16,0,11,0,0,"148","Jorge",2023-08-01
"DSCN8833","Playa Blanca","7","2023",727.648,25,0,0,1,3,"68","Daniela",2023-07-01
"DSCN8888","Playa Blanca","7","2023",399.258,24,0,5,0,2,"70","Daniela",2023-07-01
"DSCN8804","Playa Blanca","7","2023",796.719,22,0,0,0,0,"72","Daniela",2023-07-01
"DSCN8799","Playa Blanca","7","2023",766.389,23,0,1,1,3,"73","Daniela",2023-07-01
"DSCN8772","Playa Blanca","7","2023",674.921,19,0,1,0,1,"74","Daniela",2023-07-01
"DSCN9860","Playa Blanca","8","2023",768.859,25,0,0,1,2,"68","Daniela",2023-08-01
"DSCN9918","Playa Blanca","8","2023",495.226,24,0,5,0,4,"70","Daniela",2023-08-01
"DSCN9834","Playa Blanca","8","2023",905.506,19,0,0,3,1,"72","Daniela",2023-08-01
"DSCN9824","Playa Blanca","8","2023",807.411,23,0,1,1,3,"73","Daniela",2023-08-01
"DSCN9802","Playa Blanca","8","2023",721.505,18,0,1,1,1,"74","Daniela",2023-08-01
"PA210847","Playa Blanca","10","2023",648.239,16,0,5,1,16,"59","Amanda",2023-10-01
"PA210843","Playa Blanca","10","2023",492.683,18,0,10,0,18,"82","Amanda",2023-10-01
"PA210855","Playa Blanca","10","2023",648.121,22,0,10,2,22,"99","Amanda",2023-10-01
"PA210850","Playa Blanca","10","2023",488.749,19,1,12,0,19,"115","Amanda",2023-10-01
"PA210858","Playa Blanca","10","2023",618.94,24,1,16,2,24,"146","Amanda",2023-10-01
"PA210845","Playa Blanca","10","2023",556.728,19,0,9,0,19,"147","Amanda",2023-10-01
"PA210852","Playa Blanca","10","2023",547.706,21,0,13,1,21,"155","Amanda",2023-10-01
"DSCN3820","Playa Blanca","4","2023",436.592,21,0,0,0,2,"121","Saul",2023-04-01
"DSCN3826","Playa Blanca","4","2023",486.201,21,0,0,1,0,"127","Saul",2023-04-01
"DSCN3796","Playa Blanca","4","2023",234.717,22,0,0,0,0,"130","Saul",2023-04-01
"DSCN3770","Playa Blanca","4","2023",334.612,25,0,0,1,0,"133","Saul",2023-04-01
"DSCN3836","Playa Blanca","4","2023",538.621,17,0,0,2,0,"138","Saul",2023-04-01
"DSCN4573","Playa Blanca","5","2023",449.794,21,0,0,0,0,"121","Saul",2023-05-01
"DSCN4579","Playa Blanca","5","2023",533.255,18,0,0,3,0,"127","Saul",2023-05-01
"DSCN4615","Playa Blanca","5","2023",405.857,22,0,0,0,0,"130","Saul",2023-05-01
"DSCN4621","Playa Blanca","5","2023",485.74,23,0,0,2,0,"133","Saul",2023-05-01
"DSCN4577","Playa Blanca","5","2023",671.418,16,0,0,1,0,"138","Saul",2023-05-01
"DSCN5326","Playa Blanca","6","2023",606.367,20,0,0,1,0,"121","Saul",2023-06-01
"DSCN5335","Playa Blanca","6","2023",660.969,16,0,0,2,0,"127","Saul",2023-06-01
"DSCN5352","Playa Blanca","6","2023",555.083,22,0,0,0,0,"130","Saul",2023-06-01
"DSCN5357","Playa Blanca","6","2023",599.207,23,0,0,0,0,"133","Saul",2023-06-01
"DSCN5336","Playa Blanca","6","2023",970.939,16,0,0,0,0,"138","Saul",2023-06-01
"DSCN8816","Playa Blanca","7","2023",702.454,21,0,0,0,0,"121","Saul",2023-07-01
"DSCN8831","Playa Blanca","7","2023",887.448,18,0,0,0,0,"127","Saul",2023-07-01
"DSCN8858","Playa Blanca","7","2023",637.199,22,0,0,0,0,"130","Saul",2023-07-01
"DSCN8874","Playa Blanca","7","2023",634.452,21,0,0,2,0,"133","Saul",2023-07-01
"DSCN8823","Playa Blanca","7","2023",970.961,18,0,0,0,0,"138","Saul",2023-07-01
"DSCN9844","Playa Blanca","8","2023",691.714,18,0,0,3,1,"121","Saul",2023-08-01
"DSCN9858","Playa Blanca","8","2023",888.055,21,0,0,0,0,"127","Saul",2023-08-01
"DSCN9882","Playa Blanca","8","2023",741.646,22,0,0,0,0,"130","Saul",2023-08-01
"DSCN9894","Playa Blanca","8","2023",794.073,22,0,0,1,0,"133","Saul",2023-08-01
"DSCN9850","Playa Blanca","8","2023",908.863,17,0,0,1,0,"138","Saul",2023-08-01
"PA210889","Playa Blanca","10","2023",631.297,18,0,0,0,17,"121","Saul",2023-10-01
"PA210910","Playa Blanca","10","2023",809.109,19,0,0,2,18,"127","Saul",2023-10-01
"PA210960","Playa Blanca","10","2023",832.933,22,0,0,0,22,"133","Saul",2023-10-01
"PA210899","Playa Blanca","10","2023",1028.64,16,0,0,1,15,"138","Saul",2023-10-01
"DSCN2125","Playa Blanca","11","2023",328.797,13,3,12,1,13,"59","Amanda",2023-11-01
"DSCN2118","Playa Blanca","11","2023",116.392,6,13,6,1,6,"82","Amanda",2023-11-01
"DSCN2129","Playa Blanca","11","2023",409.734,15,6,11,2,15,"99","Amanda",2023-11-01
"DSCN2123","Playa Blanca","11","2023",213.202,12,7,11,1,12,"115","Amanda",2023-11-01
"DSCN2132","Playa Blanca","11","2023",603.932,21,4,17,3,21,"146","Amanda",2023-11-01
"DSCN2120","Playa Blanca","11","2023",430.444,16,2,15,3,16,"147","Amanda",2023-11-01
"DSCN2127","Playa Blanca","11","2023",259.225,11,10,8,2,11,"155","Amanda",2023-11-01
"DSCN2151","Playa Blanca","11","2023",601.75,20,7,5,0,9,"149","Emma",2023-11-01
"DSCN2221","Playa Blanca","11","2023",504.137,15,5,4,2,6,"150","Emma",2023-11-01
"DSCN2171","Playa Blanca","11","2023",903.704,16,4,4,4,8,"151","Emma",2023-11-01
"DSCN2155","Playa Blanca","11","2023",676.61,16,2,9,0,5,"154","Emma",2023-11-01
"DSCN2191","Playa Blanca","11","2023",205.009,14,1,9,1,4,"375","Emma",2023-11-01
"DSCN2200","Playa Blanca","11","2023",511.685,25,11,9,0,5,"378","Emma",2023-11-01
"DSCN2213","Playa Blanca","11","2023",251.771,16,3,11,1,2,"379","Emma",2023-11-01
"DSCN2308","Playa Blanca","11","2023",182.46,20,7,6,0,7,"380","Emma",2023-11-01
"PA210881","Playa Blanca","10","2023",905.483,22,1,0,1,20,"149","Emma",2023-10-01
"PA210954","Playa Blanca","10","2023",1034.611,15,0,1,1,14,"150","Emma",2023-10-01
"PA210907","Playa Blanca","10","2023",1375.035,19,0,1,3,14,"151","Emma",2023-10-01
"PA210895","Playa Blanca","10","2023",1116.959,17,9,0,0,15,"154","Emma",2023-10-01
"PA210928","Playa Blanca","10","2023",528.177,15,0,0,0,15,"375","Emma",2023-10-01
"PA210978","Playa Blanca","10","2023",1283.707,25,0,0,0,23,"378","Emma",2023-10-01
"PA210951","Playa Blanca","10","2023",498.929,18,0,1,0,19,"379","Emma",2023-10-01
"PA211002","Playa Blanca","10","2023",500.459,21,0,0,0,21,"380","Emma",2023-10-01
"P9232660","Playa Blanca","9","2023",531.994,21,0,0,1,11,"380","Emma",2023-09-01
"DSCN9836","Playa Blanca","8","2023",949.939,22,0,0,1,1,"149","Emma",2023-08-01
"DSCN9872","Playa Blanca","8","2023",852.147,15,0,0,0,0,"150","Emma",2023-08-01
"DSCN9856","Playa Blanca","8","2023",1135.081,19,0,0,3,0,"151","Emma",2023-08-01
"DSCN9840","Playa Blanca","8","2023",1141.311,18,0,0,1,0,"154","Emma",2023-08-01
"DSCN9984","Playa Blanca","8","2023",370.439,14,0,0,3,1,"375","Emma",2023-08-01
"DSCN9969","Playa Blanca","8","2023",1101.757,25,0,0,0,0,"378","Emma",2023-08-01
"DSCN9878","Playa Blanca","8","2023",444.901,19,0,0,1,1,"379","Emma",2023-08-01
"DSCN9950","Playa Blanca","8","2023",433.126,22,0,0,0,3,"380","Emma",2023-08-01
"DSCN8821","Playa Blanca","7","2023",1096.359,22,0,0,2,0,"149","Emma",2023-07-01
"DSCN8856","Playa Blanca","7","2023",880.299,15,0,0,1,0,"150","Emma",2023-07-01
"DSCN8829","Playa Blanca","7","2023",1058.138,19,0,0,4,0,"151","Emma",2023-07-01
"DSCN8818","Playa Blanca","7","2023",985.507,18,0,1,0,0,"154","Emma",2023-07-01
"DSCN8845","Playa Blanca","7","2023",238.069,14,0,0,2,0,"375","Emma",2023-07-01
"DSCN8862","Playa Blanca","7","2023",910.243,24,0,0,0,0,"378","Emma",2023-07-01
"DSCN8854","Playa Blanca","7","2023",546.993,19,0,0,3,3,"379","Emma",2023-07-01
"DSCN8919","Playa Blanca","7","2023",385.8,22,0,0,0,1,"380","Emma",2023-07-01
"DSCN5329","Playa Blanca","6","2023",958.605,22,0,0,3,0,"149","Emma",2023-06-01
"DSCN5353","Playa Blanca","6","2023",842.131,15,0,0,1,0,"150","Emma",2023-06-01
"DSCN5339","Playa Blanca","6","2023",919.282,20,1,0,3,0,"151","Emma",2023-06-01
"DSCN5328","Playa Blanca","6","2023",914.229,18,0,1,0,0,"154","Emma",2023-06-01
"DSCN5345","Playa Blanca","6","2023",261.121,16,0,0,2,0,"375","Emma",2023-06-01
"DSCN5350","Playa Blanca","6","2023",720.374,24,0,0,0,0,"378","Emma",2023-06-01
"DSCN5342","Playa Blanca","6","2023",306.31,19,1,0,2,0,"379","Emma",2023-06-01
"DSCN5394","Playa Blanca","6","2023",293.91,22,0,0,0,1,"380","Emma",2023-06-01
"DSCN4575","Playa Blanca","5","2023",772.706,21,0,0,2,0,"149","Emma",2023-05-01
"DSCN4617","Playa Blanca","5","2023",654.521,15,0,0,2,0,"150","Emma",2023-05-01
"DSCN4585","Playa Blanca","5","2023",922.262,20,1,0,3,0,"151","Emma",2023-05-01
"DSCN4571","Playa Blanca","5","2023",803.528,17,0,0,0,0,"154","Emma",2023-05-01
"DSCN4603","Playa Blanca","5","2023",239.242,18,0,1,0,0,"375","Emma",2023-05-01
"DSCN4609","Playa Blanca","5","2023",569.024,24,0,0,0,0,"378","Emma",2023-05-01
"DSCN4599","Playa Blanca","5","2023",286.63,18,1,0,4,0,"379","Emma",2023-05-01
"DSCN4651","Playa Blanca","5","2023",192.161,22,0,0,0,0,"380","Emma",2023-05-01
"DSCN3812","Playa Blanca","4","2023",551.04,22,0,0,2,0,"149","Emma",2023-04-01
"DSCN3794","Playa Blanca","4","2023",541.578,15,0,0,3,0,"150","Emma",2023-04-01
"DSCN3832","Playa Blanca","4","2023",726.338,21,1,0,2,0,"151","Emma",2023-04-01
"DSCN3822","Playa Blanca","4","2023",651.557,18,0,0,0,0,"154","Emma",2023-04-01
"DSCN3786","Playa Blanca","4","2023",195.286,19,0,0,0,0,"375","Emma",2023-04-01
"DSCN3782","Playa Blanca","4","2023",427.466,28,0,0,0,0,"378","Emma",2023-04-01
"DSCN3792","Playa Blanca","4","2023",202.178,25,1,0,0,0,"379","Emma",2023-04-01
"DSCN3744","Playa Blanca","4","2023",201.364,25,0,0,0,0,"380","Emma",2023-04-01
"DSCN2764","Playa Blanca","3","2023",433.186,22,0,0,2,0,"149","Emma",2023-03-01
"DSCN2778","Playa Blanca","3","2023",764.716,23,1,0,2,0,"151","Emma",2023-03-01
