"photo.code","site","origin","month","year","area.cm2","num.frag","mort.","mort.parc","perd","blanq","structure","structure_fixed","face","data_entry_person","date"
"DSCN8536","Playa Blanca","Jicaro","1","2021",76.597,6,0,0,0,0,"14","14","1","Digitador_8",2021-01-01
"DSCN8537","Playa Blanca","Jicaro","1","2021",45.82,6,0,1,1,0,"14","14","2","Digitador_8",2021-01-01
"DSCN8538","Playa Blanca","Jicaro","1","2021",40.416,4,0,0,2,0,"14","14","3","Digitador_8",2021-01-01
"DSCN8539","Playa Blanca","Jicaro","1","2021",96.862,6,0,0,1,0,"14","14","4","Digitador_8",2021-01-01
"DSCN8540","Playa Blanca","Jicaro","1","2021",76.935,5,0,1,1,0,"14","14","5","Digitador_8",2021-01-01
"DSCN8541","Playa Blanca","Jicaro","1","2021",72.751,5,0,0,0,0,"14","14","6","Digitador_8",2021-01-01
"DSCN8542","Playa Blanca","Jicaro","1","2021",292.356,18,0,2,0,0,"14","14","7","Digitador_8",2021-01-01
"DSNC8544","Playa Blanca","Jicaro","1","2021",52.09,10,0,0,0,0,"15","15","1","Digitador_8",2021-01-01
"DSNC8545","Playa Blanca","Jicaro","1","2021",44.641,7,0,0,1,0,"15","15","2","Digitador_8",2021-01-01
"DSNC8546","Playa Blanca","Jicaro","1","2021",16.431,4,1,0,1,0,"15","15","3","Digitador_8",2021-01-01
"DSNC8547","Playa Blanca","Jicaro","1","2021",59.591,6,1,0,0,0,"15","15","4","Digitador_8",2021-01-01
"DSNC8548","Playa Blanca","Jicaro","1","2021",45.839,8,0,1,0,0,"15","15","5","Digitador_8",2021-01-01
"DSNC8549","Playa Blanca","Jicaro","1","2021",103.912,7,0,0,0,0,"15","15","6","Digitador_8",2021-01-01
"DSNC8550","Playa Blanca","Jicaro","1","2021",165.105,13,0,2,3,0,"15","15","7","Digitador_8",2021-01-01
"DSCN9126","Playa Blanca","Jicaro","2","2021",125.392,4,0,1,0,0,"11","11","1","Digitador_8",2021-02-01
"DSCN9127","Playa Blanca","Jicaro","2","2021",152.403,5,0,1,0,0,"11","11","2","Digitador_8",2021-02-01
"DSCN9128","Playa Blanca","Jicaro","2","2021",151.653,3,0,1,0,1,"11","11","3","Digitador_8",2021-02-01
"DSCN9130","Playa Blanca","Jicaro","2","2021",147.891,4,0,1,1,0,"11","11","4","Digitador_8",2021-02-01
"DSCN9131","Playa Blanca","Jicaro","2","2021",216.527,5,0,2,0,1,"11","11","5","Digitador_8",2021-02-01
"DSCN9132","Playa Blanca","Jicaro","2","2021",150.308,4,0,2,2,0,"11","11","6","Digitador_8",2021-02-01
"DSCN9133","Playa Blanca","Jicaro","2","2021",154.847,11,0,1,2,0,"11","11","7","Digitador_8",2021-02-01
"DSCN9105","Playa Blanca","Jicaro","2","2021",182.098,5,0,1,0,0,"12","12","1","Digitador_8",2021-02-01
"DSCN9106","Playa Blanca","Jicaro","2","2021",109.215,5,0,0,0,0,"12","12","2","Digitador_8",2021-02-01
"DSCN9107","Playa Blanca","Jicaro","2","2021",44.771,4,0,1,1,0,"12","12","3","Digitador_8",2021-02-01
"DSCN9108","Playa Blanca","Jicaro","2","2021",40.607,7,0,0,0,0,"12","12","4","Digitador_8",2021-02-01
"DSCN9109","Playa Blanca","Jicaro","2","2021",30.836,5,0,0,2,0,"12","12","5","Digitador_8",2021-02-01
"DSCN9110","Playa Blanca","Jicaro","2","2021",37.767,4,1,0,1,1,"12","12","6","Digitador_8",2021-02-01
"DSCN9111","Playa Blanca","Jicaro","2","2021",179.067,13,0,0,5,2,"12","12","7","Digitador_8",2021-02-01
"DSCN9098","Playa Blanca","Jicaro","2","2021",95.505,5,0,1,0,0,"13","13","1","Digitador_8",2021-02-01
"DSCN9099","Playa Blanca","Jicaro","2","2021",49.508,5,0,1,1,0,"13","13","2","Digitador_8",2021-02-01
"DSCN9100","Playa Blanca","Jicaro","2","2021",105.595,5,0,2,0,0,"13","13","3","Digitador_8",2021-02-01
"DSCN9101","Playa Blanca","Jicaro","2","2021",122.145,8,0,0,0,0,"13","13","4","Digitador_8",2021-02-01
"DSCN9102","Playa Blanca","Jicaro","2","2021",63.028,6,0,0,1,0,"13","13","5","Digitador_8",2021-02-01
"DSCN9103","Playa Blanca","Jicaro","2","2021",45.354,3,0,0,2,0,"13","13","6","Digitador_8",2021-02-01
"DSCN9104","Playa Blanca","Jicaro","2","2021",413.591,17,0,0,2,0,"13","13","7","Digitador_8",2021-02-01
"DSCN9090","Playa Blanca","Jicaro","2","2021",78.46,4,0,1,3,0,"14","14","1","Digitador_8",2021-02-01
"DSCN9091","Playa Blanca","Jicaro","2","2021",29.098,4,0,0,3,0,"14","14","2","Digitador_8",2021-02-01
