photo.code,str.code,lado,site,origin,nursery,frag.date,date,month,year,gira,area.cm2,num.frag,mort.,mort.parc,perd,blanq,notas,analizador
DSCN9757,91,3,Playa Pelonas,,arana,,,2,2022,23-Feb,56.152,3,0,0,0,0,,Tania
DSCN9758,91,4,Playa Pelonas,,arana,,,2,2022,23-Feb,71.428,4,0,0,0,0,,Tania
DSCN9759,91,5,Playa Pelonas,,arana,,,2,2022,23-Feb,57.858,3,0,0,0,0,,Tania
DSCN9760,91,6,Playa Pelonas,,arana,,,2,2022,23-Feb,22.441,2,0,0,0,0,,Tania
DSCN9761,91,7,Playa Pelonas,,arana,,,2,2022,23-Feb,367.398,14,0,0,0,0,,Tania
DSCN9746,92,1,Playa Pelonas,,arana,,,2,2022,23-Feb,161.664,5,0,0,0,0,,Tania
DSCN9747,92,2,Playa Pelonas,,arana,,,2,2022,23-Feb,151.198,6,0,0,0,0,,Tania
DSCN9748,92,3,Playa Pelonas,,arana,,,2,2022,23-Feb,228.856,4,0,0,0,0,,Tania
DSCN9749,92,4,Playa Pelonas,,arana,,,2,2022,23-Feb,170.287,5,0,0,0,0,,Tania
DSCN9750,92,5,Playa Pelonas,,arana,,,2,2022,23-Feb,273.227,9,0,0,0,0,,Tania
DSCN9751,92,6,Playa Pelonas,,arana,,,2,2022,23-Feb,151.874,7,0,0,0,0,,Tania
DSCN9752,92,7,Playa Pelonas,,arana,,,2,2022,23-Feb,390.508,17,0,0,0,0,,Tania
DSCN9763,93,1,Playa Pelonas,,arana,,,2,2022,23-Feb,78.956,5,0,0,0,0,,Tania
DSCN9764,93,2,Playa Pelonas,,arana,,,2,2022,23-Feb,87.573,3,0,0,1,0,,Tania
DSCN9765,93,3,Playa Pelonas,,arana,,,2,2022,23-Feb,141.754,4,0,0,0,0,,Tania
DSCN9766,93,4,Playa Pelonas,,arana,,,2,2022,23-Feb,112.67,4,0,0,0,0,,Tania
DSCN9767,93,5,Playa Pelonas,,arana,,,2,2022,23-Feb,65.672,3,0,0,1,0,,Tania
DSCN9768,93,6,Playa Pelonas,,arana,,,2,2022,23-Feb,112.417,5,0,0,1,0,,Tania
DSCN9769,93,7,Playa Pelonas,,arana,,,2,2022,23-Feb,318.799,17,0,0,0,0,,Tania
DSCN9772,94,1,Playa Pelonas,,arana,,,2,2022,23-Feb,42.066,2,0,0,0,0,,Tania
DSCN9773,94,2,Playa Pelonas,,arana,,,2,2022,23-Feb,106.32,5,0,0,0,0,,Tania
DSCN9774,94,3,Playa Pelonas,,arana,,,2,2022,23-Feb,46.13,2,0,0,0,0,,Tania
DSCN9775,94,4,Playa Pelonas,,arana,,,2,2022,23-Feb,50.786,3,0,0,0,0,,Tania
DSCN9776,94,5,Playa Pelonas,,arana,,,2,2022,23-Feb,25.09,3,0,0,0,0,,Tania
DSCN9777,94,6,Playa Pelonas,,arana,,,2,2022,23-Feb,23.08,2,0,0,0,0,,Tania
DSCN9778,94,7,Playa Pelonas,,arana,,,2,2022,23-Feb,169.365,6,0,0,1,0,,Tania
DSCN8394,91,1,Playa Pelonas,,arana,,,3,2022,22-Mar,48.302,3,0,0,1,0,,Tania
DSCN8395,91,2,Playa Pelonas,,arana,,,3,2022,22-Mar,35.812,3,0,0,0,0,,Tania
DSCN8396,91,3,Playa Pelonas,,arana,,,3,2022,22-Mar,72.851,4,0,0,0,1,,Tania
DSCN8397,91,4,Playa Pelonas,,arana,,,3,2022,22-Mar,52.628,4,0,0,0,0,Repetido con DSCN8420,Tania
DSCN8398,91,5,Playa Pelonas,,arana,,,3,2022,22-Mar,34.428,4,0,0,0,0,,Tania
DSCN8399,91,6,Playa Pelonas,,arana,,,3,2022,22-Mar,14.942,2,0,0,1,0,,Tania
DSCN8400,91,7,Playa Pelonas,,arana,,,3,2022,22-Mar,278.436,12,0,0,1,0,,Tania
DSCN8416,92,1,Playa Pelonas,,arana,,,3,2022,22-Mar,129.583,9,0,0,0,0,,Tania
